Symbol GSE Entrez GO
63 PRMT5 GSE107762 10419 GO:0000387;GO:0006353;GO:0007088;GO:0018216;GO:0019918;GO:0032922;GO:0034969;GO:0035246;GO:0042118;GO:0043985;GO:0044030;GO:0045596;GO:0048714;GO:0070372;GO:0090161;GO:0097421;GO:1901796;GO:1903507;GO:1904992
64 PUM1 GSE95412 9698 GO:0007283;GO:0008344;GO:0010608;GO:0016441;GO:0035196;GO:0043488;GO:0048863;GO:0051726;GO:0051983;GO:0060964;GO:0061157;GO:1900246;GO:2000637
65 PUM2 GSE95412 23369 GO:0006417;GO:0010608;GO:0034063;GO:0035196;GO:0043488;GO:0051983;GO:0060964;GO:1900246;GO:2000637
66 RNF168 GSE106617 165918 GO:0006302;GO:0006303;GO:0006511;GO:0006974;GO:0010212;GO:0016567;GO:0034244;GO:0035518;GO:0036297;GO:0036351;GO:0036352;GO:0045190;GO:0045739;GO:0070534;GO:0070535
67 RNF168 GSE118532 165918 GO:0006302;GO:0006303;GO:0006511;GO:0006974;GO:0010212;GO:0016567;GO:0034244;GO:0035518;GO:0036297;GO:0036351;GO:0036352;GO:0045190;GO:0045739;GO:0070534;GO:0070535
68 RNF6 GSE107980 6049 GO:0006355;GO:0006511;GO:0030517;GO:0044314;GO:0045893;GO:0060765;GO:0070936;GO:0085020
69 ROR1 GSE96637 4919 GO:0007605;GO:0014002;GO:0018108;GO:0043123;GO:0048839;GO:0048856;GO:0051092;GO:0060071
70 Rorc GSE126537 NA NA
71 RUVBL2 GSE105253 10856 GO:0000492;GO:0006281;GO:0006310;GO:0006338;GO:0006357;GO:0006457;GO:0016573;GO:0032508;GO:0034644;GO:0035066;GO:0040008;GO:0043967;GO:0043968;GO:0045944;GO:0071169;GO:0071392;GO:0071733;GO:0071899;GO:0090090;GO:1903507;GO:1904874
72 SENCR GSE122490 100507392 NA
73 SHARPIN GSE77261 81858 GO:0007005;GO:0007249;GO:0007420;GO:0010803;GO:0030262;GO:0031424;GO:0043123;GO:0043161;GO:0050728;GO:0051260;GO:0097039;GO:2000348
74 SIRT7 GSE99596 51547 GO:0000122;GO:0007072;GO:0009303;GO:0070932;GO:0070933
75 SNHG12 GSE138219 85028 GO:0006396
76 SOCS3 GSE122486 9021 GO:0006469;GO:0007259;GO:0016567;GO:0019221;GO:0035556;GO:0040008;GO:0042531;GO:0042532;GO:0043066;GO:0043551;GO:0043687;GO:0045597;GO:0046426;GO:0046627;GO:0046854;GO:0050728;GO:0060334;GO:0060670;GO:0060674;GO:0060707;GO:0060708;GO:0070102;GO:1990830
77 SRA1 GSE52385 10011 GO:0006915;GO:0008283;GO:0030154;GO:0042981;GO:0045662;GO:0071391;GO:1903508
78 SRSF2 GSE111900 6427 GO:0000278;GO:0000381;GO:0000398;GO:0006397;GO:0006405;GO:0006406;GO:0008380;GO:0031124;GO:0033197;GO:0045292;GO:1903507
79 STAB1 GSE63807 23166 GO:0006898;GO:0006954;GO:0007155;GO:0007267;GO:0016525;GO:0042742;GO:0055114
80 TDG GSE123681 6996 GO:0000122;GO:0006284;GO:0006285;GO:0006298;GO:0006325;GO:0032091;GO:0035511;GO:0035562;GO:0040029;GO:0045008;GO:0045995;GO:0080111;GO:1902544
81 TNFSF13 GSE104425 8741 GO:0006955;GO:0007165;GO:0008284;GO:0033209;GO:0043488;GO:0048298
82 TP53 GSE132340 7157 GO:0000122;GO:0000733;GO:0001701;GO:0001756;GO:0001836;GO:0002244;GO:0002309;GO:0002326;GO:0002360;GO:0002931;GO:0006284;GO:0006289;GO:0006302;GO:0006355;GO:0006606;GO:0006914;GO:0006974;GO:0006977;GO:0006978;GO:0006983;GO:0007050;GO:0007179;GO:0007265;GO:0007275;GO:0007369;GO:0007406;GO:0007569;GO:0008104;GO:0008156;GO:0008283;GO:0008285;GO:0008340;GO:0009299;GO:0009303;GO:0009651;GO:0010165;GO:0010332;GO:0010628;GO:0010666;GO:0016032;GO:0016579;GO:0019221;GO:0021549;GO:0030154;GO:0030308;GO:0030330;GO:0030512;GO:0031065;GO:0031497;GO:0031571;GO:0032461;GO:0033077;GO:0034103;GO:0034644;GO:0035264;GO:0035690;GO:0035794;GO:0042149;GO:0042771;GO:0042981;GO:0043065;GO:0043066;GO:0043153;GO:0043504;GO:0043516;GO:0043525;GO:0045861;GO:0045892;GO:0045893;GO:0045899;GO:0045944;GO:0046677;GO:0046827;GO:0046902;GO:0048147;GO:0048512;GO:0048539;GO:0048568;GO:0050731;GO:0050821;GO:0051097;GO:0051123;GO:0051262;GO:0051289;GO:0051402;GO:0051974;GO:0060218;GO:0060333;GO:0060411;GO:0061419;GO:0065003;GO:0070059;GO:0070245;GO:0070266;GO:0071158;GO:0071456;GO:0071479;GO:0071480;GO:0071494;GO:0071850;GO:0072331;GO:0072332;GO:0072363;GO:0072717;GO:0090200;GO:0090343;GO:0090399;GO:0090403;GO:0097193;GO:0097252;GO:1900119;GO:1900740;GO:1901525;GO:1901796;GO:1902108;GO:1902253;GO:1902749;GO:1902895;GO:1903799;GO:1903800;GO:1904024;GO:1990144;GO:1990440;GO:2000269;GO:2000378;GO:2000379;GO:2000772;GO:2001244
83 TRIM24 GSE77140 8805 GO:0006366;GO:0008285;GO:0016567;GO:0030163;GO:0031647;GO:0042981;GO:0045892;GO:0045893;GO:0046777;GO:0055074;GO:0070562;GO:0071391;GO:1901796
84 UBC9 GSE117143 NA NA
85 ZFR GSE99231 51663 GO:0007275
86 ZNF217 GSE58326 7764 GO:0000122;GO:0006351;GO:0006355;GO:0045892
87 ZNF423 GSE59598 23090 GO:0006355;GO:0007219;GO:0007399;GO:0030154;GO:0030513;GO:0045892;GO:0045893;GO:0120163
88 ZRF1 GSE104675 NA NA
